#,Region,Company,Product,Date of Approval,Status,Action
120,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
121,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
122,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
123,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
124,Central Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
125,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
126,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
127,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/01/2022,Approved,View & Print
128,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/01/2022,Approved,View & Print
129,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
130,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
131,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
132,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
133,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
134,Western Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
135,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
136,Western Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
137,Western Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,Cylinder),,,
138,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
139,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
140,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
141,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
#,Region,Company,Product,Date of Approval,Status,Action
142,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
143,Central Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
144,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
145,Central Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
146,Central Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,Cylinder),,,
147,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/01/2022,Approved,View & Print
148,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/01/2022,Approved,View & Print
149,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/01/2022,Approved,View & Print
,,,Non-Subsidized LPG,,,
150,Eastern Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
151,Eastern Region,Indian Oil Corporation Limited,,01/01/2022,Approved,View & Print
,,,Cylinder),,,
152,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
153,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
154,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
155,Western Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
156,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
157,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
158,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
159,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
160,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
161,Central Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
162,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
163,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
164,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/12/2021,Approved,View & Print
165,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/12/2021,Approved,View & Print
166,Western Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
167,Central Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
168,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),02/12/2021,Approved,View & Print
169,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
170,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
171,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
172,Western Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
173,Western Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
174,Western Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,Cylinder),,,
175,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
176,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
177,Central Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
178,Central Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
179,Central Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,Cylinder),,,
180,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
181,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
182,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
183,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
184,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/12/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
185,Eastern Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
186,Eastern Region,Indian Oil Corporation Limited,,01/12/2021,Approved,View & Print
,,,Cylinder),,,
187,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
188,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/12/2021,Approved,View & Print
189,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
190,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
191,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
192,Western Region,Indian Oil Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
193,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
194,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
195,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
196,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
197,Central Region,Indian Oil Corporation Limited,MS (in KL),16/11/2021,Approved,View & Print
198,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
199,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),16/11/2021,Approved,View & Print
